,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,0 - 0,1,2866.0,11:46,Away,0
1,0 - 0,1,2866.0,11:46,Home,0
2,0 - 1,1,2866.0,11:46,Away,0
2,0 - 1,1,2866.0,11:46,Home,1
3,0 - 2,1,2866.0,11:46,Away,0
3,0 - 2,1,2866.0,11:46,Home,2
4,2 - 2,1,2853.0,11:33,Away,2
4,2 - 2,1,2853.0,11:33,Home,2
5,2 - 2,1,2831.0,11:11,Away,2
5,2 - 2,1,2831.0,11:11,Home,2
6,2 - 2,1,2829.0,11:09,Away,2
6,2 - 2,1,2829.0,11:09,Home,2
7,2 - 2,1,2820.0,11:00,Home,2
7,2 - 2,1,2820.0,11:00,Away,2
8,2 - 2,1,2817.0,10:57,Home,2
8,2 - 2,1,2817.0,10:57,Away,2
9,2 - 4,1,2812.0,10:52,Home,4
9,2 - 4,1,2812.0,10:52,Away,2
10,2 - 4,1,2797.0,10:37,Home,4
10,2 - 4,1,2797.0,10:37,Away,2
11,2 - 4,1,2797.0,10:37,Away,2
11,2 - 4,1,2797.0,10:37,Home,4
12,2 - 4,1,2794.0,10:34,Away,2
12,2 - 4,1,2794.0,10:34,Home,4
13,2 - 4,1,2792.0,10:32,Away,2
13,2 - 4,1,2792.0,10:32,Home,4
14,2 - 6,1,2784.0,10:24,Away,2
14,2 - 6,1,2784.0,10:24,Home,6
15,2 - 6,1,2767.0,10:07,Home,6
15,2 - 6,1,2767.0,10:07,Away,2
16,2 - 6,1,2764.0,10:04,Away,2
16,2 - 6,1,2764.0,10:04,Home,6
17,2 - 9,1,2755.0,09:55,Home,9
17,2 - 9,1,2755.0,09:55,Away,2
18,2 - 9,1,2737.0,09:37,Away,2
18,2 - 9,1,2737.0,09:37,Home,9
19,2 - 9,1,2737.0,09:37,Home,9
19,2 - 9,1,2737.0,09:37,Away,2
20,2 - 12,1,2727.0,09:27,Away,2
20,2 - 12,1,2727.0,09:27,Home,12
21,2 - 12,1,2725.0,09:25,Away,2
21,2 - 12,1,2725.0,09:25,Home,12
22,2 - 12,1,2712.0,09:12,Away,2
22,2 - 12,1,2712.0,09:12,Home,12
23,2 - 12,1,2709.0,09:09,Home,12
23,2 - 12,1,2709.0,09:09,Away,2
24,2 - 12,1,2698.0,08:58,Home,12
24,2 - 12,1,2698.0,08:58,Away,2
25,2 - 12,1,2697.0,08:57,Home,12
25,2 - 12,1,2697.0,08:57,Away,2
26,2 - 12,1,2685.0,08:45,Away,2
26,2 - 12,1,2685.0,08:45,Home,12
27,2 - 12,1,2685.0,08:45,Home,12
27,2 - 12,1,2685.0,08:45,Away,2
28,2 - 12,1,2685.0,08:45,Away,2
28,2 - 12,1,2685.0,08:45,Home,12
29,2 - 12,1,2685.0,08:45,Home,12
29,2 - 12,1,2685.0,08:45,Away,2
30,2 - 12,1,2685.0,08:45,Home,12
30,2 - 12,1,2685.0,08:45,Away,2
31,2 - 12,1,2664.0,08:24,Away,2
31,2 - 12,1,2664.0,08:24,Home,12
32,2 - 12,1,2661.0,08:21,Away,2
32,2 - 12,1,2661.0,08:21,Home,12
33,2 - 12,1,2657.0,08:17,Away,2
33,2 - 12,1,2657.0,08:17,Home,12
34,2 - 12,1,2653.0,08:13,Home,12
34,2 - 12,1,2653.0,08:13,Away,2
35,2 - 14,1,2643.0,08:03,Away,2
35,2 - 14,1,2643.0,08:03,Home,14
36,5 - 14,1,2628.0,07:48,Home,14
36,5 - 14,1,2628.0,07:48,Away,5
37,5 - 14,1,2612.0,07:32,Away,5
37,5 - 14,1,2612.0,07:32,Home,14
38,5 - 14,1,2609.0,07:29,Away,5
38,5 - 14,1,2609.0,07:29,Home,14
39,7 - 14,1,2597.0,07:17,Away,7
39,7 - 14,1,2597.0,07:17,Home,14
40,7 - 14,1,2576.0,06:56,Away,7
40,7 - 14,1,2576.0,06:56,Home,14
41,7 - 14,1,2575.0,06:55,Home,14
41,7 - 14,1,2575.0,06:55,Away,7
42,7 - 14,1,2568.0,06:48,Home,14
42,7 - 14,1,2568.0,06:48,Away,7
43,7 - 14,1,2566.0,06:46,Home,14
43,7 - 14,1,2566.0,06:46,Away,7
44,7 - 14,1,2555.0,06:35,Away,7
44,7 - 14,1,2555.0,06:35,Home,14
45,7 - 14,1,2547.0,06:27,Home,14
45,7 - 14,1,2547.0,06:27,Away,7
46,7 - 14,1,2545.0,06:25,Home,14
46,7 - 14,1,2545.0,06:25,Away,7
47,7 - 14,1,2537.0,06:17,Home,14
47,7 - 14,1,2537.0,06:17,Away,7
48,7 - 14,1,2531.0,06:11,Away,7
48,7 - 14,1,2531.0,06:11,Home,14
49,7 - 14,1,2521.0,06:01,Home,14
49,7 - 14,1,2521.0,06:01,Away,7
50,7 - 14,1,2521.0,06:01,Home,14
50,7 - 14,1,2521.0,06:01,Away,7
51,7 - 16,1,2517.0,05:57,Away,7
51,7 - 16,1,2517.0,05:57,Home,16
52,10 - 16,1,2500.0,05:40,Away,10
52,10 - 16,1,2500.0,05:40,Home,16
53,10 - 16,1,2484.0,05:24,Away,10
53,10 - 16,1,2484.0,05:24,Home,16
54,10 - 16,1,2484.0,05:24,Away,10
54,10 - 16,1,2484.0,05:24,Home,16
55,10 - 16,1,2484.0,05:24,Home,16
